Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric",60.825000,-70.800000,0.000000,bottom
"C2","10u","C_0805_2012Metric",70.400000,-63.350000,-90.000000,bottom
"D1","D_Schottky","D_SOD-123",58.750000,-73.800000,180.000000,bottom
"IC1","LD1117DT33TR","TO228P972X240-3N",62.550000,-63.800000,0.000000,bottom
"R1","1k5","R_0805_2012Metric",68.000000,-78.087500,90.000000,bottom
"R2","1k5","R_0805_2012Metric",74.600000,-59.700000,-90.000000,bottom
"R4","1k5","R_0805_2012Metric",72.000000,-67.487500,-90.000000,bottom
"R5","1k5","R_0805_2012Metric",96.100000,-71.000000,90.000000,bottom
"C3","100n","C_0603_1608Metric",92.400000,-64.225000,-90.000000,top
"C4","100n","C_0603_1608Metric",78.000000,-70.775000,-90.000000,top
"C5","100n","C_0603_1608Metric",88.075000,-75.450000,180.000000,top
"C6","100n","C_0603_1608Metric",81.625000,-60.200000,0.000000,top
"C7","100n","C_0603_1608Metric",78.000000,-63.225000,90.000000,top
"C8","27p","C_0402_1005Metric",75.480000,-64.150000,180.000000,top
"C9","27p","C_0402_1005Metric",75.480000,-71.800000,180.000000,top
"D2","RED","LED_0805_2012Metric",64.000000,-78.062500,90.000000,top
"D3","YELLOW","LED_0805_2012Metric",71.000000,-59.737500,-90.000000,top
"J1","0480372200","0480372200",41.400000,-69.000000,-90.000000,top
"J2","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",57.460000,-78.000000,90.000000,top
"J3","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical_SMD",100.450000,-61.560000,0.000000,top
"J5","Conn_01x16_Pin","PinHeader_1x16_P2.54mm_Vertical",67.380000,-52.000000,90.000000,top
"J7","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",114.000000,-71.080000,0.000000,top
"J8","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",108.600000,-58.720000,0.000000,top
"J9","Conn_01x17_Pin","PinHeader_1x17_P2.54mm_Vertical",66.220000,-87.000000,90.000000,top
"R3","47","R_0402_1005Metric",78.310000,-68.300000,0.000000,top
"R6","220","R_1206_3216Metric",105.900000,-75.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",85.000000,-68.150000,0.000000,top
"Y1","8MHz 20pF","Crystal_SMD_5032-2Pin_5.0x3.2mm",75.000000,-68.000000,90.000000,top
